id,lat,lon,name,street,postcode,brand
20849687,51.4110074,-0.3340174,Unknown,,,
25475389,51.5265807,-0.1292505,Woburn Cafe,,,
25497832,51.5247641,-0.1161125,Cafe Angel,,,
25991205,51.5509046,-0.0724776,Jack's Cafe,Shacklewell Lane,E8 2EZ,
26269218,51.5691513,-0.0598633,Springfield Park Cafe,Springfield,E5 9EF,
30062730,51.4400001,-0.1051929,Perks and White,Station Rise,SE27 9BW,
36684383,51.5520625,-0.3504501,Café Express,Oldfields Circus,UB5 4RR,
45273242,51.5937738,0.2342052,Station Cafe,,,
60030740,51.4686299,-0.3275195,Greedies,South Street,TW7 7AA,
130210673,51.5046688,-0.1696555,The Serpentine Lido Cafe,,,
140681851,51.4989916,-0.1354995,Starbucks,Palmer Street,SW1H 0AD,Starbucks
169436940,51.4987752,-0.1412257,Buckingham Coffee Lounge,Palace Street,SW1E 5HS,
207145668,51.4781383,-0.2909155,Victoria Plaza café,Kew Road,TW9 3AB,
244056695,51.5246924,-0.0752813,Beans & Beyond,Old Nichol Street,E2 7HR,
246880765,51.3602342,-0.1332936,Mellows Pavilion Cafe,Stafford Road,SM6 9BU,
248042426,51.3533278,-0.1328371,Beehive Café,Mollison Drive,SM6 9NZ,
248231088,51.5620412,-0.1496786,Kalendar,,,
249314702,51.5042616,-0.0612495,Turk's Head Cafe,Green Bank,E1W 2PA,
249856001,51.4809488,-0.418779,Starbucks,Bath Road,TW6 2AA,Starbucks
253369107,51.3661855,-0.1602984,Unknown,,,
255006105,51.5786546,-0.1240474,Starbucks,The Broadway,N8 8DU,Starbucks
256497884,51.5134807,-0.1165232,The Garrick,Aldwych,WC2B 4RR,
258016397,51.3549448,-0.1623963,Millers Kitchen,Stanley Park Road,SM5 3JG,
262083093,51.4527114,-0.2553944,Colicci Roehampton Gate,,SW15 5JR,
264524115,51.5044528,-0.0784709,Caffe Nomma Italian,,,
264625038,51.5270245,-0.0837537,Neds Noodle Bar,Pitfield Street,N1 6HB,
266527270,51.447244,-0.4561813,The Orchard Cafe,Staines Road,TW14 8RU,
267406074,51.5059312,-0.1171709,Riverside Terrace Cafe,,SE1 8XX,
270201257,51.3355447,-0.17028,Oaks Park Cafe,Croydon Lane,SM7 3BA,
273217489,51.496539,-0.1354705,City Brunch,,,
273217510,51.4964968,-0.1357931,Cafe Nuvo,Artillery Row,SW1P 1RZ,
273933958,51.489,-0.1920131,Costa,Old Brompton Road,SW5 9HR,Costa
273933965,51.4899869,-0.190421,Caffè du Coin,Earl's Court Road,,
276757485,51.4931224,-0.1444353,Treat's,,,
278523677,51.4424027,-0.294468,Pembroke Lodge,,TW10 5HX,
279051551,51.3846322,-0.1739087,George's Cafe,Green Wrythe Lane,SM5 1JF,
279249388,51.5154204,-0.0603671,Cafe Donatella,Nelson Street,E1 2DL,
281851003,51.525503,-0.1538118,The Tennis Centre,,,
282117011,51.4804805,-0.1589365,Tea Terrace,,,
286493172,51.4991305,-0.0736417,Archway Cafe,,,
287453553,51.5005539,-0.0914286,Twists Sandwich Bar,,,
288598377,51.4994799,-0.264467,Sparrow Cafe,,,
289807081,51.4363873,-0.1044291,Chocolate & Champagne,Norwood Road,SE27 9DJ,
291969070,51.5513745,-0.0555368,Black Cat Cafe,Clarence Road,E5 8HB,
292011536,51.4548973,-0.1193419,Café on the Hill,Brixton Hill,SW2 1AA,
