id,name,lat,lon,modes,zone
0400ZZLUAMS0,Amersham Underground Station,51.674206,-0.607362,['tube'],9
0400ZZLUCAL0,Chalfont & Latimer Underground Station,51.667915,-0.560616,['tube'],8
0400ZZLUCAL1,Chalfont & Latimer Underground Station,51.668122,-0.560624,['tube'],8
0400ZZLUCSM0,Chesham Underground Station,51.705227,-0.611113,['tube'],9
2100ZZLUCXY0,Croxley Underground Station,51.647069,-0.441746,['tube'],7
2100ZZLUCYD0,Chorleywood Underground Station,51.654292,-0.518319,['tube'],7
2100ZZLUCYD1,Chorleywood Underground Station,51.654141,-0.518511,['tube'],7
2100ZZLUMPK0,Moor Park Underground Station,51.629693,-0.432704,['tube'],6+7
2100ZZLUMPK1,Moor Park Underground Station,51.629782,-0.431964,['tube'],6+7
2100ZZLURKW0,Rickmansworth Underground Station,51.640385,-0.473654,['tube'],7
2100ZZLUWAF0,Watford Underground Station,51.657531,-0.417157,['tube'],7
4900ZZLUACT1,Acton Town Station,51.50301,-0.28042,['tube'],3
4900ZZLUACT2,Acton Town Station,51.50324,-0.27991,['tube'],3
4900ZZLUACY1,Archway Station,51.56568,-0.13493,['tube'],2+3
4900ZZLUACY2,Archway Station,51.56524,-0.13476,['tube'],2+3
4900ZZLUACY3,Archway Station,51.56491,-0.13502,['tube'],2+3
4900ZZLUADE1,Aldgate East Station,51.5153,-0.07208,['tube'],1
4900ZZLUADE2,Aldgate East Station,51.51472,-0.07088,['tube'],1
4900ZZLUADE3,Aldgate East Station,51.51513,-0.07172,['tube'],1
4900ZZLUADE4,Aldgate East Station,51.51511,-0.07182,['tube'],1
4900ZZLUADE5,Aldgate East Station,51.5158,-0.06997,['tube'],1
4900ZZLUADE6,Aldgate East Station,51.51602,-0.07002,['tube'],1
4900ZZLUAGL1,Angel Station,51.53184,-0.10635,['tube'],1
4900ZZLUAGL2,Angel Station,51.53279,-0.10599,['tube'],1
4900ZZLUALD1,Aldgate Station,51.51405,-0.07528,['tube'],1
4900ZZLUALP1,Alperton Station,51.54063,-0.29913,['tube'],4
4900ZZLUASG1,Arnos Grove Station,51.61606,-0.1334,['tube'],4
4900ZZLUASL1,Arsenal,51.5584,-0.10568,['tube'],2
4900ZZLUBBB1,Bromley By Bow Station,51.52473,-0.01144,['tube'],2/3
4900ZZLUBBB2,Bromley By Bow Station,51.52478,-0.01107,['tube'],2/3
4900ZZLUBBN1,Barbican Station,51.52031,-0.09753,['tube'],1
4900ZZLUBDS1,Bounds Green Station,51.60693,-0.12456,['tube'],3+4
4900ZZLUBDS2,Bounds Green Station,51.60693,-0.1243,['tube'],3+4
4900ZZLUBEC1,Becontree Station,51.5404,0.12751,['tube'],5
4900ZZLUBKE1,Barkingside Station,51.58582,0.08836,['tube'],4
4900ZZLUBLG1,Bethnal Green Station,51.52732,-0.05527,['tube'],2
4900ZZLUBLG2,Bethnal Green Station,51.52781,-0.05545,['tube'],2
4900ZZLUBLG3,Bethnal Green Station,51.52717,-0.05544,['tube'],2
4900ZZLUBLG4,Bethnal Green Station,51.52739,-0.0556,['tube'],2
4900ZZLUBLM1,Balham Station,51.44323,-0.15294,['tube'],3
4900ZZLUBLM2,Balham Station  / Balham Station Road,51.44328,-0.15307,['tube'],3
4900ZZLUBLM3,Balham Station,51.44351,-0.15319,['tube'],3
4900ZZLUBLM4,Balham Station  / Balham Station Road,51.44324,-0.15222,['tube'],3
4900ZZLUBMY1,Bermondsey Station,51.49814,-0.06363,['tube'],2
4900ZZLUBND1,Bond Street Station,51.51452,-0.14914,['tube'],1
4900ZZLUBND2,Bond Street Station,51.51439,-0.1489,['tube'],1
4900ZZLUBND3,Bond Street Station,51.51436,-0.14933,['tube'],1
4900ZZLUBND4,Bond Street Station,51.51378,-0.14993,['tube'],1
4900ZZLUBND5,Bond Street Station,51.51404,-0.1491,['tube'],1
4900ZZLUBND6,Bond Street Station,51.51433,-0.14966,['tube'],1
4900ZZLUBND7,Bond Street Station,51.51441,-0.14735,['tube'],1
4900ZZLUBOR1,Borough Station,51.50123,-0.0934,['tube'],1
4900ZZLUBOR2,Borough Station,51.50028,-0.09218,['tube'],1
4900ZZLUBOS1,Boston Manor Station,51.49585,-0.32446,['tube'],4
4900ZZLUBSC1,Barons Court,51.49037,-0.21355,['tube'],2
4900ZZLUBST1,Baker Street Station,51.52246,-0.15695,['tube'],1
4900ZZLUBST2,Baker Street Station,51.52222,-0.15628,['tube'],1
4900ZZLUBST3,Baker Street Station,51.52268,-0.1577,['tube'],1
4900ZZLUBST4,Baker Street Station,51.52232,-0.15738,['tube'],1
4900ZZLUBTK1,Burnt Oak Station,51.60259,-0.26398,['tube'],4
4900ZZLUBTX1,Brent Cross Station,51.57707,-0.21336,['tube'],3
4900ZZLUBTX2,Brent Cross Station,51.57674,-0.21319,['tube'],3
4900ZZLUBWR1,Bow Road Station,51.52712,-0.02501,['tube'],2
4900ZZLUBWT1,Bayswater Station,51.51239,-0.18769,['tube'],1
4900ZZLUBXN1,Brixton Station,51.46265,-0.11496,['tube'],2
4900ZZLUBZP1,Belsize Park Station,51.55041,-0.16447,['tube'],2
4900ZZLUCAR1,Caledonian Road Station,51.54857,-0.11812,['tube'],2
4900ZZLUCFM1,Chalk Farm Station,51.54395,-0.15351,['tube'],2
4900ZZLUCGN1,Covent Garden Station,51.51307,-0.12423,['tube'],1
4900ZZLUCGN2,Covent Garden Station,51.51302,-0.12401,['tube'],1
4900ZZLUCHL1,Chancery Lane Station,51.51811,-0.1115,['tube'],1
4900ZZLUCHL2,Chancery Lane Station,51.51823,-0.11147,['tube'],1
